date,category,amount,description
2024-01-01,rent,4712,Monthly shop rent
2024-01-01,electricity,1289,Electricity bill
2024-02-01,rent,4712,Monthly shop rent
2024-02-01,electricity,1289,Electricity bill
2024-01-02,inventory_purchase,873,inventory purchase expense
2024-01-03,maintenance,609,maintenance expense
2024-01-04,maintenance,488,maintenance expense
2024-01-05,inventory_purchase,651,inventory purchase expense
2024-01-06,wages,789,wages expense
2024-01-07,inventory_purchase,1717,inventory purchase expense
2024-01-08,transport,2005,transport expense
2024-01-09,inventory_purchase,1844,inventory purchase expense
2024-01-10,inventory_purchase,453,inventory purchase expense
2024-01-11,transport,1346,transport expense
2024-01-12,packaging,968,packaging expense
2024-01-13,packaging,1737,packaging expense
2024-01-14,inventory_purchase,509,inventory purchase expense
2024-01-15,packaging,1783,packaging expense
2024-01-16,packaging,1910,packaging expense
2024-01-17,transport,666,transport expense
2024-01-18,transport,577,transport expense
2024-01-19,wages,1870,wages expense
2024-01-20,packaging,974,packaging expense
2024-01-21,packaging,522,packaging expense
2024-01-22,maintenance,722,maintenance expense
2024-01-23,wages,419,wages expense
2024-01-24,maintenance,1305,maintenance expense
2024-01-25,inventory_purchase,1254,inventory purchase expense
2024-01-26,maintenance,1611,maintenance expense
2024-01-27,wages,974,wages expense
2024-01-28,maintenance,1191,maintenance expense
2024-01-29,transport,1425,transport expense
2024-01-30,transport,1260,transport expense
2024-01-31,maintenance,1968,maintenance expense
2024-02-01,inventory_purchase,372,inventory purchase expense
2024-02-02,wages,1092,wages expense
2024-02-03,maintenance,1512,maintenance expense
2024-02-04,transport,925,transport expense
2024-02-05,maintenance,1484,maintenance expense
2024-02-06,maintenance,1562,maintenance expense
2024-02-07,packaging,944,packaging expense
2024-02-08,packaging,723,packaging expense
2024-02-09,wages,658,wages expense
2024-02-10,maintenance,2004,maintenance expense
2024-02-11,maintenance,1311,maintenance expense
2024-02-12,transport,1732,transport expense
2024-02-13,transport,781,transport expense
2024-02-14,transport,1068,transport expense
2024-02-15,transport,1784,transport expense
2024-02-16,packaging,671,packaging expense
