item_name,quantity,unit_price,category
Rice 25kg,98,563,Groceries
Wheat Flour 25kg,28,394,Groceries
Sugar 25kg,81,428,Groceries
Cooking Oil 15L,52,743,Groceries
Tea Powder 5kg,77,315,Groceries
Pulses 10kg,13,360,Groceries
Detergent 5kg,95,270,Groceries
Salt 10kg,65,90,Groceries
Biscuits Carton,100,405,Groceries
Soap Dozen,22,135,Groceries
Rice 25kg,81,563,Groceries
Wheat Flour 25kg,56,394,Groceries
Sugar 25kg,39,428,Groceries
Cooking Oil 15L,28,743,Groceries
Tea Powder 5kg,84,315,Groceries
Pulses 10kg,38,360,Groceries
Detergent 5kg,56,270,Groceries
Salt 10kg,67,90,Groceries
Biscuits Carton,35,405,Groceries
Soap Dozen,27,135,Groceries
Rice 25kg,79,563,Groceries
Wheat Flour 25kg,10,394,Groceries
Sugar 25kg,78,428,Groceries
Cooking Oil 15L,47,743,Groceries
Tea Powder 5kg,99,315,Groceries
Pulses 10kg,15,360,Groceries
Detergent 5kg,81,270,Groceries
Salt 10kg,74,90,Groceries
Biscuits Carton,45,405,Groceries
Soap Dozen,25,135,Groceries
Rice 25kg,78,563,Groceries
Wheat Flour 25kg,93,394,Groceries
Sugar 25kg,28,428,Groceries
Cooking Oil 15L,70,743,Groceries
Tea Powder 5kg,25,315,Groceries
Pulses 10kg,90,360,Groceries
Detergent 5kg,50,270,Groceries
Salt 10kg,56,90,Groceries
Biscuits Carton,46,405,Groceries
Soap Dozen,89,135,Groceries
Rice 25kg,74,563,Groceries
Wheat Flour 25kg,73,394,Groceries
Sugar 25kg,24,428,Groceries
Cooking Oil 15L,11,743,Groceries
Tea Powder 5kg,13,315,Groceries
Pulses 10kg,68,360,Groceries
Detergent 5kg,86,270,Groceries
Salt 10kg,43,90,Groceries
Biscuits Carton,80,405,Groceries
Soap Dozen,48,135,Groceries
