item_name,quantity,unit_price,category
Rice 25kg,29,1250,Groceries
Wheat Flour 25kg,86,875,Groceries
Sugar 25kg,79,950,Groceries
Cooking Oil 15L,45,1650,Groceries
Tea Powder 5kg,23,700,Groceries
Pulses 10kg,38,800,Groceries
Detergent 5kg,35,600,Groceries
Salt 10kg,22,200,Groceries
Biscuits Carton,31,900,Groceries
Soap Dozen,32,300,Groceries
Rice 25kg,53,1250,Groceries
Wheat Flour 25kg,40,875,Groceries
Sugar 25kg,80,950,Groceries
Cooking Oil 15L,84,1650,Groceries
Tea Powder 5kg,25,700,Groceries
Pulses 10kg,92,800,Groceries
Detergent 5kg,52,600,Groceries
Salt 10kg,80,200,Groceries
Biscuits Carton,49,900,Groceries
Soap Dozen,72,300,Groceries
Rice 25kg,69,1250,Groceries
Wheat Flour 25kg,31,875,Groceries
Sugar 25kg,40,950,Groceries
Cooking Oil 15L,98,1650,Groceries
Tea Powder 5kg,35,700,Groceries
Pulses 10kg,33,800,Groceries
Detergent 5kg,93,600,Groceries
Salt 10kg,86,200,Groceries
Biscuits Carton,20,900,Groceries
Soap Dozen,24,300,Groceries
Rice 25kg,63,1250,Groceries
Wheat Flour 25kg,92,875,Groceries
Sugar 25kg,83,950,Groceries
Cooking Oil 15L,46,1650,Groceries
Tea Powder 5kg,97,700,Groceries
Pulses 10kg,34,800,Groceries
Detergent 5kg,59,600,Groceries
Salt 10kg,93,200,Groceries
Biscuits Carton,86,900,Groceries
Soap Dozen,80,300,Groceries
Rice 25kg,41,1250,Groceries
Wheat Flour 25kg,52,875,Groceries
Sugar 25kg,46,950,Groceries
Cooking Oil 15L,79,1650,Groceries
Tea Powder 5kg,79,700,Groceries
Pulses 10kg,48,800,Groceries
Detergent 5kg,93,600,Groceries
Salt 10kg,69,200,Groceries
Biscuits Carton,11,900,Groceries
Soap Dozen,26,300,Groceries
