date,category,amount,description
2024-01-01,rent,4377,Monthly shop rent
2024-01-01,electricity,600,Electricity bill
2024-02-01,rent,4377,Monthly shop rent
2024-02-01,electricity,600,Electricity bill
2024-01-02,supplies,1415,supplies expense
2024-01-03,miscellaneous,1925,miscellaneous expense
2024-01-04,wages,1465,wages expense
2024-01-05,wages,857,wages expense
2024-01-06,supplies,721,supplies expense
2024-01-07,supplies,670,supplies expense
2024-01-08,supplies,401,supplies expense
2024-01-09,miscellaneous,2184,miscellaneous expense
2024-01-10,transport,2182,transport expense
2024-01-11,maintenance,936,maintenance expense
2024-01-12,maintenance,1630,maintenance expense
2024-01-13,transport,1075,transport expense
2024-01-14,transport,403,transport expense
2024-01-15,wages,1427,wages expense
2024-01-16,maintenance,1847,maintenance expense
2024-01-17,maintenance,408,maintenance expense
2024-01-18,maintenance,995,maintenance expense
2024-01-19,miscellaneous,474,miscellaneous expense
2024-01-20,wages,1995,wages expense
2024-01-21,miscellaneous,1200,miscellaneous expense
2024-01-22,supplies,840,supplies expense
2024-01-23,miscellaneous,2201,miscellaneous expense
2024-01-24,transport,1942,transport expense
2024-01-25,transport,446,transport expense
2024-01-26,miscellaneous,658,miscellaneous expense
2024-01-27,transport,1980,transport expense
2024-01-28,transport,640,transport expense
2024-01-29,supplies,394,supplies expense
2024-01-30,transport,1731,transport expense
2024-01-31,wages,595,wages expense
2024-02-01,wages,1328,wages expense
2024-02-02,wages,494,wages expense
2024-02-03,supplies,1494,supplies expense
2024-02-04,supplies,1160,supplies expense
2024-02-05,supplies,1668,supplies expense
2024-02-06,transport,1084,transport expense
2024-02-07,supplies,1409,supplies expense
2024-02-08,wages,1519,wages expense
2024-02-09,wages,1216,wages expense
2024-02-10,maintenance,963,maintenance expense
2024-02-11,supplies,833,supplies expense
2024-02-12,supplies,1618,supplies expense
2024-02-13,maintenance,1767,maintenance expense
2024-02-14,wages,1306,wages expense
2024-02-15,maintenance,548,maintenance expense
2024-02-16,wages,590,wages expense
