item_name,quantity,unit_price,category
Raw Material A,30,225,General
Raw Material B,23,338,General
Component Pack,52,180,General
Spare Parts Box,31,540,General
Packaging Material,97,135,General
Tool Set,70,675,General
Consumables Pack,58,270,General
Cleaning Supplies,72,113,General
Safety Equipment,39,360,General
Office Supplies,50,158,General
Raw Material A,73,225,General
Raw Material B,22,338,General
Component Pack,61,180,General
Spare Parts Box,11,540,General
Packaging Material,58,135,General
Tool Set,83,675,General
Consumables Pack,15,270,General
Cleaning Supplies,14,113,General
Safety Equipment,61,360,General
Office Supplies,51,158,General
Raw Material A,53,225,General
Raw Material B,69,338,General
Component Pack,40,180,General
Spare Parts Box,54,540,General
Packaging Material,72,135,General
Tool Set,61,675,General
Consumables Pack,51,270,General
Cleaning Supplies,47,113,General
Safety Equipment,39,360,General
Office Supplies,40,158,General
Raw Material A,82,225,General
Raw Material B,74,338,General
Component Pack,49,180,General
Spare Parts Box,59,540,General
Packaging Material,19,135,General
Tool Set,69,675,General
Consumables Pack,84,270,General
Cleaning Supplies,23,113,General
Safety Equipment,29,360,General
Office Supplies,24,158,General
Raw Material A,77,225,General
Raw Material B,42,338,General
Component Pack,36,180,General
Spare Parts Box,11,540,General
Packaging Material,96,135,General
Tool Set,54,675,General
Consumables Pack,32,270,General
Cleaning Supplies,88,113,General
Safety Equipment,52,360,General
Office Supplies,44,158,General
