date,category,amount,description
2024-01-01,rent,14974,Monthly shop rent
2024-01-01,electricity,2981,Electricity bill
2024-02-01,rent,14974,Monthly shop rent
2024-02-01,electricity,2981,Electricity bill
2024-01-02,transport,1600,transport expense
2024-01-03,supplies,1593,supplies expense
2024-01-04,miscellaneous,2632,miscellaneous expense
2024-01-05,supplies,1947,supplies expense
2024-01-06,transport,4794,transport expense
2024-01-07,transport,3146,transport expense
2024-01-08,transport,1851,transport expense
2024-01-09,maintenance,1580,maintenance expense
2024-01-10,transport,2778,transport expense
2024-01-11,wages,1697,wages expense
2024-01-12,miscellaneous,4902,miscellaneous expense
2024-01-13,transport,2112,transport expense
2024-01-14,miscellaneous,4491,miscellaneous expense
2024-01-15,transport,2986,transport expense
2024-01-16,maintenance,1597,maintenance expense
2024-01-17,transport,3907,transport expense
2024-01-18,transport,2454,transport expense
2024-01-19,transport,4193,transport expense
2024-01-20,transport,4551,transport expense
2024-01-21,wages,1028,wages expense
2024-01-22,maintenance,4189,maintenance expense
2024-01-23,miscellaneous,1564,miscellaneous expense
2024-01-24,transport,1050,transport expense
2024-01-25,wages,4484,wages expense
2024-01-26,miscellaneous,1297,miscellaneous expense
2024-01-27,supplies,2725,supplies expense
2024-01-28,supplies,3184,supplies expense
2024-01-29,wages,4992,wages expense
2024-01-30,miscellaneous,4785,miscellaneous expense
2024-01-31,miscellaneous,1948,miscellaneous expense
2024-02-01,wages,3025,wages expense
2024-02-02,wages,3525,wages expense
2024-02-03,transport,3009,transport expense
2024-02-04,supplies,2793,supplies expense
2024-02-05,maintenance,2800,maintenance expense
2024-02-06,wages,3396,wages expense
2024-02-07,transport,1346,transport expense
2024-02-08,maintenance,3980,maintenance expense
2024-02-09,transport,1458,transport expense
2024-02-10,wages,1445,wages expense
2024-02-11,supplies,3983,supplies expense
2024-02-12,transport,1908,transport expense
2024-02-13,transport,1246,transport expense
2024-02-14,maintenance,3349,maintenance expense
2024-02-15,maintenance,2522,maintenance expense
2024-02-16,wages,3556,wages expense
