item_name,quantity,unit_price,category
Raw Material A,35,325,General
Raw Material B,71,488,General
Component Pack,89,260,General
Spare Parts Box,57,780,General
Packaging Material,62,195,General
Tool Set,80,975,General
Consumables Pack,17,390,General
Cleaning Supplies,56,163,General
Safety Equipment,41,520,General
Office Supplies,20,228,General
Raw Material A,25,325,General
Raw Material B,65,488,General
Component Pack,36,260,General
Spare Parts Box,77,780,General
Packaging Material,77,195,General
Tool Set,62,975,General
Consumables Pack,72,390,General
Cleaning Supplies,76,163,General
Safety Equipment,55,520,General
Office Supplies,44,228,General
Raw Material A,58,325,General
Raw Material B,80,488,General
Component Pack,34,260,General
Spare Parts Box,38,780,General
Packaging Material,93,195,General
Tool Set,91,975,General
Consumables Pack,31,390,General
Cleaning Supplies,89,163,General
Safety Equipment,12,520,General
Office Supplies,22,228,General
Raw Material A,13,325,General
Raw Material B,72,488,General
Component Pack,32,260,General
Spare Parts Box,100,780,General
Packaging Material,38,195,General
Tool Set,35,975,General
Consumables Pack,91,390,General
Cleaning Supplies,17,163,General
Safety Equipment,24,520,General
Office Supplies,87,228,General
Raw Material A,86,325,General
Raw Material B,15,488,General
Component Pack,91,260,General
Spare Parts Box,58,780,General
Packaging Material,20,195,General
Tool Set,80,975,General
Consumables Pack,97,390,General
Cleaning Supplies,62,163,General
Safety Equipment,96,520,General
Office Supplies,39,228,General
