date,category,amount,description
2024-01-01,rent,7476,Monthly shop rent
2024-01-01,electricity,961,Electricity bill
2024-02-01,rent,7476,Monthly shop rent
2024-02-01,electricity,961,Electricity bill
2024-01-02,cold_storage,2380,cold storage expense
2024-01-03,wages,1926,wages expense
2024-01-04,medicine_purchase,1277,medicine purchase expense
2024-01-05,license_fee,1927,license fee expense
2024-01-06,cold_storage,1336,cold storage expense
2024-01-07,packaging,1303,packaging expense
2024-01-08,packaging,2311,packaging expense
2024-01-09,wages,2618,wages expense
2024-01-10,license_fee,1851,license fee expense
2024-01-11,medicine_purchase,1797,medicine purchase expense
2024-01-12,packaging,1883,packaging expense
2024-01-13,license_fee,1872,license fee expense
2024-01-14,packaging,1061,packaging expense
2024-01-15,wages,1613,wages expense
2024-01-16,medicine_purchase,1804,medicine purchase expense
2024-01-17,packaging,762,packaging expense
2024-01-18,cold_storage,1725,cold storage expense
2024-01-19,wages,924,wages expense
2024-01-20,cold_storage,2486,cold storage expense
2024-01-21,medicine_purchase,1953,medicine purchase expense
2024-01-22,packaging,1862,packaging expense
2024-01-23,packaging,884,packaging expense
2024-01-24,cold_storage,798,cold storage expense
2024-01-25,wages,1449,wages expense
2024-01-26,medicine_purchase,1816,medicine purchase expense
2024-01-27,packaging,832,packaging expense
2024-01-28,cold_storage,2695,cold storage expense
2024-01-29,cold_storage,2122,cold storage expense
2024-01-30,packaging,713,packaging expense
2024-01-31,wages,945,wages expense
2024-02-01,medicine_purchase,2265,medicine purchase expense
2024-02-02,wages,1905,wages expense
2024-02-03,license_fee,1937,license fee expense
2024-02-04,medicine_purchase,1209,medicine purchase expense
2024-02-05,wages,2184,wages expense
2024-02-06,cold_storage,1447,cold storage expense
2024-02-07,wages,1341,wages expense
2024-02-08,cold_storage,1769,cold storage expense
2024-02-09,packaging,2156,packaging expense
2024-02-10,medicine_purchase,1123,medicine purchase expense
2024-02-11,medicine_purchase,1729,medicine purchase expense
2024-02-12,packaging,2430,packaging expense
2024-02-13,cold_storage,1033,cold storage expense
2024-02-14,medicine_purchase,1114,medicine purchase expense
2024-02-15,cold_storage,1315,cold storage expense
2024-02-16,license_fee,2254,license fee expense
