item_name,quantity,unit_price,category
Paracetamol 500mg Box,53,540,Medicines
Cough Syrup Carton,14,1080,Medicines
Antacid Tablets Box,48,405,Medicines
Vitamin C Box,12,675,Medicines
Bandage Rolls Box,58,360,Medicines
Antiseptic Cream Box,23,495,Medicines
Eye Drops Box,77,810,Medicines
Multivitamin Bottles,86,1575,Medicines
Diabetes Strips Box,99,1890,Medicines
BP Tablets Box,18,1260,Medicines
Paracetamol 500mg Box,42,540,Medicines
Cough Syrup Carton,64,1080,Medicines
Antacid Tablets Box,97,405,Medicines
Vitamin C Box,62,675,Medicines
Bandage Rolls Box,79,360,Medicines
Antiseptic Cream Box,22,495,Medicines
Eye Drops Box,68,810,Medicines
Multivitamin Bottles,10,1575,Medicines
Diabetes Strips Box,99,1890,Medicines
BP Tablets Box,16,1260,Medicines
Paracetamol 500mg Box,48,540,Medicines
Cough Syrup Carton,24,1080,Medicines
Antacid Tablets Box,40,405,Medicines
Vitamin C Box,84,675,Medicines
Bandage Rolls Box,73,360,Medicines
Antiseptic Cream Box,41,495,Medicines
Eye Drops Box,78,810,Medicines
Multivitamin Bottles,97,1575,Medicines
Diabetes Strips Box,32,1890,Medicines
BP Tablets Box,64,1260,Medicines
Paracetamol 500mg Box,39,540,Medicines
Cough Syrup Carton,78,1080,Medicines
Antacid Tablets Box,62,405,Medicines
Vitamin C Box,54,675,Medicines
Bandage Rolls Box,30,360,Medicines
Antiseptic Cream Box,90,495,Medicines
Eye Drops Box,84,810,Medicines
Multivitamin Bottles,96,1575,Medicines
Diabetes Strips Box,96,1890,Medicines
BP Tablets Box,21,1260,Medicines
Paracetamol 500mg Box,19,540,Medicines
Cough Syrup Carton,36,1080,Medicines
Antacid Tablets Box,57,405,Medicines
Vitamin C Box,37,675,Medicines
Bandage Rolls Box,98,360,Medicines
Antiseptic Cream Box,30,495,Medicines
Eye Drops Box,84,810,Medicines
Multivitamin Bottles,64,1575,Medicines
Diabetes Strips Box,87,1890,Medicines
BP Tablets Box,64,1260,Medicines
