item_name,quantity,unit_price,category
Paracetamol 500mg Box,26,1920,Medicines
Cough Syrup Carton,53,3840,Medicines
Antacid Tablets Box,94,1440,Medicines
Vitamin C Box,38,2400,Medicines
Bandage Rolls Box,96,1280,Medicines
Antiseptic Cream Box,63,1760,Medicines
Eye Drops Box,71,2880,Medicines
Multivitamin Bottles,15,5600,Medicines
Diabetes Strips Box,44,6720,Medicines
BP Tablets Box,56,4480,Medicines
Paracetamol 500mg Box,88,1920,Medicines
Cough Syrup Carton,44,3840,Medicines
Antacid Tablets Box,19,1440,Medicines
Vitamin C Box,17,2400,Medicines
Bandage Rolls Box,92,1280,Medicines
Antiseptic Cream Box,63,1760,Medicines
Eye Drops Box,78,2880,Medicines
Multivitamin Bottles,58,5600,Medicines
Diabetes Strips Box,67,6720,Medicines
BP Tablets Box,59,4480,Medicines
Paracetamol 500mg Box,28,1920,Medicines
Cough Syrup Carton,14,3840,Medicines
Antacid Tablets Box,43,1440,Medicines
Vitamin C Box,77,2400,Medicines
Bandage Rolls Box,33,1280,Medicines
Antiseptic Cream Box,57,1760,Medicines
Eye Drops Box,81,2880,Medicines
Multivitamin Bottles,36,5600,Medicines
Diabetes Strips Box,24,6720,Medicines
BP Tablets Box,40,4480,Medicines
Paracetamol 500mg Box,60,1920,Medicines
Cough Syrup Carton,82,3840,Medicines
Antacid Tablets Box,55,1440,Medicines
Vitamin C Box,80,2400,Medicines
Bandage Rolls Box,44,1280,Medicines
Antiseptic Cream Box,34,1760,Medicines
Eye Drops Box,60,2880,Medicines
Multivitamin Bottles,69,5600,Medicines
Diabetes Strips Box,76,6720,Medicines
BP Tablets Box,92,4480,Medicines
Paracetamol 500mg Box,22,1920,Medicines
Cough Syrup Carton,35,3840,Medicines
Antacid Tablets Box,15,1440,Medicines
Vitamin C Box,61,2400,Medicines
Bandage Rolls Box,17,1280,Medicines
Antiseptic Cream Box,39,1760,Medicines
Eye Drops Box,11,2880,Medicines
Multivitamin Bottles,72,5600,Medicines
Diabetes Strips Box,18,6720,Medicines
BP Tablets Box,40,4480,Medicines
