date,category,amount,description
2024-01-01,rent,13059,Monthly shop rent
2024-01-01,electricity,2233,Electricity bill
2024-02-01,rent,13059,Monthly shop rent
2024-02-01,electricity,2233,Electricity bill
2024-01-02,license_fee,5556,license fee expense
2024-01-03,wages,2165,wages expense
2024-01-04,packaging,4865,packaging expense
2024-01-05,wages,5856,wages expense
2024-01-06,cold_storage,2611,cold storage expense
2024-01-07,packaging,4728,packaging expense
2024-01-08,license_fee,5530,license fee expense
2024-01-09,license_fee,5630,license fee expense
2024-01-10,license_fee,4387,license fee expense
2024-01-11,license_fee,4721,license fee expense
2024-01-12,medicine_purchase,5023,medicine purchase expense
2024-01-13,cold_storage,5398,cold storage expense
2024-01-14,license_fee,3880,license fee expense
2024-01-15,packaging,4268,packaging expense
2024-01-16,cold_storage,2522,cold storage expense
2024-01-17,wages,4515,wages expense
2024-01-18,cold_storage,3330,cold storage expense
2024-01-19,packaging,3749,packaging expense
2024-01-20,license_fee,3367,license fee expense
2024-01-21,cold_storage,5676,cold storage expense
2024-01-22,cold_storage,4657,cold storage expense
2024-01-23,wages,4418,wages expense
2024-01-24,wages,5277,wages expense
2024-01-25,license_fee,3030,license fee expense
2024-01-26,packaging,3029,packaging expense
2024-01-27,license_fee,5622,license fee expense
2024-01-28,packaging,4828,packaging expense
2024-01-29,packaging,4771,packaging expense
2024-01-30,packaging,3421,packaging expense
2024-01-31,medicine_purchase,3138,medicine purchase expense
2024-02-01,license_fee,4537,license fee expense
2024-02-02,packaging,5914,packaging expense
2024-02-03,license_fee,1781,license fee expense
2024-02-04,license_fee,3861,license fee expense
2024-02-05,wages,2664,wages expense
2024-02-06,cold_storage,5898,cold storage expense
2024-02-07,medicine_purchase,5971,medicine purchase expense
2024-02-08,packaging,5809,packaging expense
2024-02-09,packaging,5572,packaging expense
2024-02-10,packaging,2101,packaging expense
2024-02-11,license_fee,5680,license fee expense
2024-02-12,wages,4923,wages expense
2024-02-13,cold_storage,5579,cold storage expense
2024-02-14,cold_storage,3663,cold storage expense
2024-02-15,packaging,2303,packaging expense
2024-02-16,cold_storage,5748,cold storage expense
