item_name,quantity,unit_price,category
Rice 25kg,36,563,Food & Beverages
Wheat Flour 25kg,23,394,Food & Beverages
Cooking Oil 15L,93,743,Food & Beverages
Vegetables Bulk,76,360,Food & Beverages
Spices Assorted,57,270,Food & Beverages
Pulses 10kg,20,360,Food & Beverages
Milk 10L,66,225,Food & Beverages
Gas Cylinder,19,405,Food & Beverages
Disposable Plates Box,30,158,Food & Beverages
Paneer 1kg,40,158,Food & Beverages
Rice 25kg,83,563,Food & Beverages
Wheat Flour 25kg,67,394,Food & Beverages
Cooking Oil 15L,57,743,Food & Beverages
Vegetables Bulk,34,360,Food & Beverages
Spices Assorted,26,270,Food & Beverages
Pulses 10kg,96,360,Food & Beverages
Milk 10L,19,225,Food & Beverages
Gas Cylinder,51,405,Food & Beverages
Disposable Plates Box,12,158,Food & Beverages
Paneer 1kg,31,158,Food & Beverages
Rice 25kg,14,563,Food & Beverages
Wheat Flour 25kg,78,394,Food & Beverages
Cooking Oil 15L,15,743,Food & Beverages
Vegetables Bulk,52,360,Food & Beverages
Spices Assorted,31,270,Food & Beverages
Pulses 10kg,50,360,Food & Beverages
Milk 10L,26,225,Food & Beverages
Gas Cylinder,34,405,Food & Beverages
Disposable Plates Box,91,158,Food & Beverages
Paneer 1kg,86,158,Food & Beverages
Rice 25kg,93,563,Food & Beverages
Wheat Flour 25kg,99,394,Food & Beverages
Cooking Oil 15L,60,743,Food & Beverages
Vegetables Bulk,96,360,Food & Beverages
Spices Assorted,96,270,Food & Beverages
Pulses 10kg,80,360,Food & Beverages
Milk 10L,39,225,Food & Beverages
Gas Cylinder,23,405,Food & Beverages
Disposable Plates Box,32,158,Food & Beverages
Paneer 1kg,11,158,Food & Beverages
Rice 25kg,51,563,Food & Beverages
Wheat Flour 25kg,49,394,Food & Beverages
Cooking Oil 15L,24,743,Food & Beverages
Vegetables Bulk,39,360,Food & Beverages
Spices Assorted,38,270,Food & Beverages
Pulses 10kg,48,360,Food & Beverages
Milk 10L,32,225,Food & Beverages
Gas Cylinder,88,405,Food & Beverages
Disposable Plates Box,77,158,Food & Beverages
Paneer 1kg,73,158,Food & Beverages
