date,category,amount,description
2024-01-01,rent,19314,Monthly shop rent
2024-01-01,electricity,2081,Electricity bill
2024-02-01,rent,19314,Monthly shop rent
2024-02-01,electricity,2081,Electricity bill
2024-01-02,raw_materials,3194,raw materials expense
2024-01-03,gas_cylinder,5281,gas cylinder expense
2024-01-04,maintenance,6764,maintenance expense
2024-01-05,wages,3728,wages expense
2024-01-06,wages,4922,wages expense
2024-01-07,raw_materials,4973,raw materials expense
2024-01-08,gas_cylinder,6467,gas cylinder expense
2024-01-09,gas_cylinder,2326,gas cylinder expense
2024-01-10,maintenance,3596,maintenance expense
2024-01-11,raw_materials,2035,raw materials expense
2024-01-12,maintenance,2466,maintenance expense
2024-01-13,gas_cylinder,3610,gas cylinder expense
2024-01-14,packaging,5147,packaging expense
2024-01-15,maintenance,4537,maintenance expense
2024-01-16,raw_materials,3094,raw materials expense
2024-01-17,gas_cylinder,2731,gas cylinder expense
2024-01-18,gas_cylinder,3883,gas cylinder expense
2024-01-19,wages,4440,wages expense
2024-01-20,wages,3227,wages expense
2024-01-21,raw_materials,6425,raw materials expense
2024-01-22,packaging,2751,packaging expense
2024-01-23,raw_materials,2654,raw materials expense
2024-01-24,gas_cylinder,6897,gas cylinder expense
2024-01-25,gas_cylinder,3862,gas cylinder expense
2024-01-26,gas_cylinder,5817,gas cylinder expense
2024-01-27,packaging,2535,packaging expense
2024-01-28,raw_materials,4217,raw materials expense
2024-01-29,packaging,5334,packaging expense
2024-01-30,maintenance,2448,maintenance expense
2024-01-31,maintenance,5391,maintenance expense
2024-02-01,raw_materials,6672,raw materials expense
2024-02-02,raw_materials,6442,raw materials expense
2024-02-03,wages,6154,wages expense
2024-02-04,raw_materials,5007,raw materials expense
2024-02-05,packaging,2252,packaging expense
2024-02-06,packaging,6460,packaging expense
2024-02-07,raw_materials,6244,raw materials expense
2024-02-08,raw_materials,2265,raw materials expense
2024-02-09,maintenance,5478,maintenance expense
2024-02-10,gas_cylinder,5606,gas cylinder expense
2024-02-11,packaging,6061,packaging expense
2024-02-12,wages,5243,wages expense
2024-02-13,gas_cylinder,3792,gas cylinder expense
2024-02-14,wages,3184,wages expense
2024-02-15,gas_cylinder,5488,gas cylinder expense
2024-02-16,packaging,2879,packaging expense
