item_name,quantity,unit_price,category
Rice 25kg,54,1250,Food & Beverages
Wheat Flour 25kg,64,875,Food & Beverages
Cooking Oil 15L,24,1650,Food & Beverages
Vegetables Bulk,35,800,Food & Beverages
Spices Assorted,22,600,Food & Beverages
Pulses 10kg,19,800,Food & Beverages
Milk 10L,68,500,Food & Beverages
Gas Cylinder,22,900,Food & Beverages
Disposable Plates Box,18,350,Food & Beverages
Paneer 1kg,21,350,Food & Beverages
Rice 25kg,18,1250,Food & Beverages
Wheat Flour 25kg,99,875,Food & Beverages
Cooking Oil 15L,28,1650,Food & Beverages
Vegetables Bulk,91,800,Food & Beverages
Spices Assorted,69,600,Food & Beverages
Pulses 10kg,26,800,Food & Beverages
Milk 10L,77,500,Food & Beverages
Gas Cylinder,27,900,Food & Beverages
Disposable Plates Box,89,350,Food & Beverages
Paneer 1kg,81,350,Food & Beverages
Rice 25kg,60,1250,Food & Beverages
Wheat Flour 25kg,38,875,Food & Beverages
Cooking Oil 15L,68,1650,Food & Beverages
Vegetables Bulk,19,800,Food & Beverages
Spices Assorted,71,600,Food & Beverages
Pulses 10kg,28,800,Food & Beverages
Milk 10L,16,500,Food & Beverages
Gas Cylinder,79,900,Food & Beverages
Disposable Plates Box,60,350,Food & Beverages
Paneer 1kg,50,350,Food & Beverages
Rice 25kg,21,1250,Food & Beverages
Wheat Flour 25kg,57,875,Food & Beverages
Cooking Oil 15L,81,1650,Food & Beverages
Vegetables Bulk,38,800,Food & Beverages
Spices Assorted,57,600,Food & Beverages
Pulses 10kg,73,800,Food & Beverages
Milk 10L,54,500,Food & Beverages
Gas Cylinder,17,900,Food & Beverages
Disposable Plates Box,19,350,Food & Beverages
Paneer 1kg,13,350,Food & Beverages
Rice 25kg,63,1250,Food & Beverages
Wheat Flour 25kg,69,875,Food & Beverages
Cooking Oil 15L,37,1650,Food & Beverages
Vegetables Bulk,30,800,Food & Beverages
Spices Assorted,23,600,Food & Beverages
Pulses 10kg,60,800,Food & Beverages
Milk 10L,91,500,Food & Beverages
Gas Cylinder,31,900,Food & Beverages
Disposable Plates Box,54,350,Food & Beverages
Paneer 1kg,26,350,Food & Beverages
