date,category,amount,description
2024-01-01,rent,7315,Monthly shop rent
2024-01-01,electricity,500,Electricity bill
2024-02-01,rent,7315,Monthly shop rent
2024-02-01,electricity,500,Electricity bill
2024-01-02,supplies,361,supplies expense
2024-01-03,products,483,products expense
2024-01-04,equipment,693,equipment expense
2024-01-05,wages,1055,wages expense
2024-01-06,supplies,935,supplies expense
2024-01-07,wages,778,wages expense
2024-01-08,supplies,1176,supplies expense
2024-01-09,wages,257,wages expense
2024-01-10,products,793,products expense
2024-01-11,supplies,819,supplies expense
2024-01-12,equipment,781,equipment expense
2024-01-13,supplies,279,supplies expense
2024-01-14,wages,831,wages expense
2024-01-15,supplies,688,supplies expense
2024-01-16,equipment,1060,equipment expense
2024-01-17,products,1249,products expense
2024-01-18,equipment,685,equipment expense
2024-01-19,products,226,products expense
2024-01-20,supplies,1028,supplies expense
2024-01-21,supplies,1127,supplies expense
2024-01-22,supplies,878,supplies expense
2024-01-23,equipment,540,equipment expense
2024-01-24,maintenance,569,maintenance expense
2024-01-25,wages,894,wages expense
2024-01-26,supplies,251,supplies expense
2024-01-27,wages,1267,wages expense
2024-01-28,maintenance,315,maintenance expense
2024-01-29,equipment,1198,equipment expense
2024-01-30,products,294,products expense
2024-01-31,products,279,products expense
2024-02-01,equipment,866,equipment expense
2024-02-02,equipment,1077,equipment expense
2024-02-03,supplies,350,supplies expense
2024-02-04,wages,871,wages expense
2024-02-05,wages,1341,wages expense
2024-02-06,supplies,1099,supplies expense
2024-02-07,supplies,1169,supplies expense
2024-02-08,supplies,249,supplies expense
2024-02-09,maintenance,527,maintenance expense
2024-02-10,equipment,366,equipment expense
2024-02-11,wages,1107,wages expense
2024-02-12,wages,1254,wages expense
2024-02-13,products,1034,products expense
2024-02-14,maintenance,764,maintenance expense
2024-02-15,supplies,1143,supplies expense
2024-02-16,wages,302,wages expense
