item_name,quantity,unit_price,category
Shampoo 1L,57,158,Beauty Services
Conditioner 1L,17,180,Beauty Services
Hair Color Kit,93,113,Beauty Services
Wax Strips Pack,53,81,Beauty Services
Facial Kit,65,203,Beauty Services
Razor Blades Box,43,54,Beauty Services
Nail Polish Set,88,135,Beauty Services
Hair Serum 200ml,90,126,Beauty Services
Threading Thread Roll,43,36,Beauty Services
Towels Pack,13,270,Beauty Services
Shampoo 1L,52,158,Beauty Services
Conditioner 1L,19,180,Beauty Services
Hair Color Kit,81,113,Beauty Services
Wax Strips Pack,48,81,Beauty Services
Facial Kit,83,203,Beauty Services
Razor Blades Box,53,54,Beauty Services
Nail Polish Set,38,135,Beauty Services
Hair Serum 200ml,40,126,Beauty Services
Threading Thread Roll,38,36,Beauty Services
Towels Pack,73,270,Beauty Services
Shampoo 1L,62,158,Beauty Services
Conditioner 1L,21,180,Beauty Services
Hair Color Kit,68,113,Beauty Services
Wax Strips Pack,62,81,Beauty Services
Facial Kit,91,203,Beauty Services
Razor Blades Box,88,54,Beauty Services
Nail Polish Set,69,135,Beauty Services
Hair Serum 200ml,70,126,Beauty Services
Threading Thread Roll,94,36,Beauty Services
Towels Pack,97,270,Beauty Services
Shampoo 1L,33,158,Beauty Services
Conditioner 1L,48,180,Beauty Services
Hair Color Kit,74,113,Beauty Services
Wax Strips Pack,76,81,Beauty Services
Facial Kit,60,203,Beauty Services
Razor Blades Box,53,54,Beauty Services
Nail Polish Set,52,135,Beauty Services
Hair Serum 200ml,100,126,Beauty Services
Threading Thread Roll,32,36,Beauty Services
Towels Pack,12,270,Beauty Services
Shampoo 1L,69,158,Beauty Services
Conditioner 1L,92,180,Beauty Services
Hair Color Kit,82,113,Beauty Services
Wax Strips Pack,22,81,Beauty Services
Facial Kit,32,203,Beauty Services
Razor Blades Box,68,54,Beauty Services
Nail Polish Set,75,135,Beauty Services
Hair Serum 200ml,81,126,Beauty Services
Threading Thread Roll,30,36,Beauty Services
Towels Pack,13,270,Beauty Services
