date,category,amount,description
2024-01-01,rent,11501,Monthly shop rent
2024-01-01,electricity,1950,Electricity bill
2024-02-01,rent,11501,Monthly shop rent
2024-02-01,electricity,1950,Electricity bill
2024-01-02,wages,526,wages expense
2024-01-03,maintenance,1462,maintenance expense
2024-01-04,equipment,2264,equipment expense
2024-01-05,equipment,2639,equipment expense
2024-01-06,equipment,1536,equipment expense
2024-01-07,equipment,797,equipment expense
2024-01-08,equipment,1257,equipment expense
2024-01-09,supplies,966,supplies expense
2024-01-10,supplies,1314,supplies expense
2024-01-11,supplies,1184,supplies expense
2024-01-12,maintenance,513,maintenance expense
2024-01-13,supplies,2907,supplies expense
2024-01-14,supplies,1750,supplies expense
2024-01-15,supplies,770,supplies expense
2024-01-16,equipment,681,equipment expense
2024-01-17,supplies,565,supplies expense
2024-01-18,equipment,642,equipment expense
2024-01-19,supplies,2233,supplies expense
2024-01-20,products,1560,products expense
2024-01-21,maintenance,1954,maintenance expense
2024-01-22,products,957,products expense
2024-01-23,products,2999,products expense
2024-01-24,products,2029,products expense
2024-01-25,products,952,products expense
2024-01-26,products,600,products expense
2024-01-27,maintenance,1786,maintenance expense
2024-01-28,maintenance,2715,maintenance expense
2024-01-29,maintenance,1022,maintenance expense
2024-01-30,equipment,2018,equipment expense
2024-01-31,wages,2019,wages expense
2024-02-01,products,702,products expense
2024-02-02,products,1483,products expense
2024-02-03,supplies,2072,supplies expense
2024-02-04,equipment,2973,equipment expense
2024-02-05,maintenance,1948,maintenance expense
2024-02-06,maintenance,2631,maintenance expense
2024-02-07,supplies,1111,supplies expense
2024-02-08,maintenance,797,maintenance expense
2024-02-09,equipment,735,equipment expense
2024-02-10,equipment,1655,equipment expense
2024-02-11,supplies,1169,supplies expense
2024-02-12,equipment,803,equipment expense
2024-02-13,supplies,1963,supplies expense
2024-02-14,supplies,2600,supplies expense
2024-02-15,supplies,1017,supplies expense
2024-02-16,maintenance,613,maintenance expense
