date,type,vendor_name,category,amount
2024-01-01,expense,Shop Owner,Rent,15000
2024-01-01,expense,Electricity Board,Utilities,1200
2024-01-02,expense,Wholesale Market,Inventory Purchase,3500
2024-01-03,expense,Local Supplier,Inventory Purchase,2800
2024-01-04,expense,Staff Member,Wages,500
2024-01-05,expense,Wholesale Market,Inventory Purchase,4200
2024-01-06,expense,Transport Service,Transport,350
2024-01-07,expense,Wholesale Market,Inventory Purchase,3900
2024-01-08,expense,Packaging Supplier,Supplies,450
2024-01-09,expense,Local Supplier,Inventory Purchase,3200
2024-01-10,expense,Staff Member,Wages,500
2024-01-11,expense,Wholesale Market,Inventory Purchase,3600
2024-01-12,expense,Transport Service,Transport,400
2024-01-13,expense,Wholesale Market,Inventory Purchase,4100
2024-01-14,expense,Packaging Supplier,Supplies,380
2024-01-15,expense,Water Board,Utilities,600
2024-01-16,expense,Local Supplier,Inventory Purchase,3300
2024-01-17,expense,Staff Member,Wages,500
2024-01-18,expense,Wholesale Market,Inventory Purchase,3800
2024-01-19,expense,Transport Service,Transport,420
2024-01-20,expense,Wholesale Market,Inventory Purchase,4300
2024-01-21,expense,Packaging Supplier,Supplies,410
2024-01-22,expense,Local Supplier,Inventory Purchase,3400
2024-01-23,expense,Maintenance Service,Maintenance,1500
2024-01-24,expense,Staff Member,Wages,500
2024-01-25,expense,Wholesale Market,Inventory Purchase,3900
2024-01-26,expense,Transport Service,Transport,380
2024-01-27,expense,Wholesale Market,Inventory Purchase,4200
2024-01-28,expense,Packaging Supplier,Supplies,440
2024-01-29,expense,Local Supplier,Inventory Purchase,3500
2024-01-30,expense,Electricity Board,Utilities,1300
2024-01-31,expense,Staff Member,Wages,500
2024-02-01,expense,Shop Owner,Rent,15000
2024-02-01,expense,Wholesale Market,Inventory Purchase,3600
2024-02-02,expense,Transport Service,Transport,390
2024-02-03,expense,Wholesale Market,Inventory Purchase,4000
2024-02-04,expense,Packaging Supplier,Supplies,420
2024-02-05,expense,Local Supplier,Inventory Purchase,3300
2024-02-06,expense,Staff Member,Wages,500
2024-02-07,expense,Wholesale Market,Inventory Purchase,3800
2024-02-08,expense,Transport Service,Transport,410
2024-02-09,expense,Wholesale Market,Inventory Purchase,4200
2024-02-10,expense,Packaging Supplier,Supplies,450
2024-02-11,expense,Local Supplier,Inventory Purchase,3700
2024-02-12,expense,Maintenance Service,Maintenance,800
2024-02-13,expense,Staff Member,Wages,500
2024-02-14,expense,Wholesale Market,Inventory Purchase,4100
2024-02-15,expense,Water Board,Utilities,650
2024-02-16,expense,Transport Service,Transport,400
2024-02-17,expense,Wholesale Market,Inventory Purchase,3900
2024-02-18,expense,Packaging Supplier,Supplies,430
2024-02-19,expense,Local Supplier,Inventory Purchase,3400
2024-02-20,expense,Staff Member,Wages,500
2024-02-21,expense,Wholesale Market,Inventory Purchase,4000
2024-02-22,expense,Transport Service,Transport,420
2024-02-23,expense,Wholesale Market,Inventory Purchase,4300
2024-02-24,expense,Packaging Supplier,Supplies,460
2024-02-25,expense,Local Supplier,Inventory Purchase,3800
2024-02-26,expense,Electricity Board,Utilities,1350
2024-02-27,expense,Staff Member,Wages,500
2024-02-28,expense,Wholesale Market,Inventory Purchase,4100
2024-02-29,expense,Transport Service,Transport,430
2024-03-01,expense,Shop Owner,Rent,15000
2024-03-01,expense,Wholesale Market,Inventory Purchase,3700
2024-03-02,expense,Packaging Supplier,Supplies,440
2024-03-03,expense,Local Supplier,Inventory Purchase,3500
2024-03-04,expense,Staff Member,Wages,500
2024-03-05,expense,Wholesale Market,Inventory Purchase,3900
2024-03-06,expense,Transport Service,Transport,410
2024-03-07,expense,Wholesale Market,Inventory Purchase,4200
2024-03-08,expense,Packaging Supplier,Supplies,450
2024-03-09,expense,Local Supplier,Inventory Purchase,3600
