date,type,vendor_name,category,amount
2024-01-01,expense,Wholesale Supplier,Rice 25kg,1250
2024-01-01,expense,Wholesale Supplier,Wheat Flour 25kg,875
2024-01-01,expense,Wholesale Supplier,Sugar 25kg,950
2024-01-05,expense,Wholesale Supplier,Cooking Oil 15L,1650
2024-01-05,expense,Wholesale Supplier,Tea Powder 5kg,700
2024-01-10,expense,Wholesale Supplier,Rice 25kg,1250
2024-01-10,expense,Wholesale Supplier,Pulses 10kg,800
2024-01-15,expense,Wholesale Supplier,Wheat Flour 25kg,875
2024-01-15,expense,Wholesale Supplier,Sugar 25kg,950
2024-01-20,expense,Wholesale Supplier,Cooking Oil 15L,1650
2024-01-20,expense,Wholesale Supplier,Spices Assorted,600
2024-01-25,expense,Wholesale Supplier,Rice 25kg,1250
2024-01-25,expense,Wholesale Supplier,Tea Powder 5kg,700
2024-02-01,expense,Wholesale Supplier,Wheat Flour 25kg,875
2024-02-01,expense,Wholesale Supplier,Sugar 25kg,950
2024-02-05,expense,Wholesale Supplier,Cooking Oil 15L,1650
2024-02-05,expense,Wholesale Supplier,Pulses 10kg,800
2024-02-10,expense,Wholesale Supplier,Rice 25kg,1250
2024-02-10,expense,Wholesale Supplier,Spices Assorted,600
2024-02-15,expense,Wholesale Supplier,Wheat Flour 25kg,875
2024-02-15,expense,Wholesale Supplier,Tea Powder 5kg,700
2024-02-20,expense,Wholesale Supplier,Sugar 25kg,950
2024-02-20,expense,Wholesale Supplier,Cooking Oil 15L,1650
2024-02-25,expense,Wholesale Supplier,Rice 25kg,1250
2024-02-25,expense,Wholesale Supplier,Pulses 10kg,800
2024-03-01,expense,Wholesale Supplier,Wheat Flour 25kg,875
2024-03-01,expense,Wholesale Supplier,Sugar 25kg,950
2024-03-05,expense,Wholesale Supplier,Cooking Oil 15L,1650
2024-03-05,expense,Wholesale Supplier,Spices Assorted,600
